Record Of The Year,b'Moon River',b'Henry Mancini'
Album Of The Year (Other Than Classical),b'Judy At Carnegie Hall',b'Judy Garland'
Album Of The Year - Classical,b'Stravinsky Conducts 1960: Le Sacre Du Printemps; Petrouchka',"b'Igor Stravinsky, conductor'"
Song Of The Year,b'Moon River',"b'Henry Mancini & Johnny Mercer, songwriters (Henry Mancini)'"
Best Instrumental Theme Or Instrumental Version Of Song,b'African Waltz',b'Cannonball Adderly'
"Best Solo Vocal Performance, Female",b'Judy At Carnegie Hall',b'Judy Garland'
"Best Solo Vocal Performance, Male",b'Lollipops And Roses',b'Jack Jones'
Best Jazz Performance - Soloist Or Small Group (Instrumental),b'Andre Previn Plays Harold Arlen',b'Andr\xc3\xa9 Previn'
Best Jazz Performance - Large Group (Instrumental),b'West Side Story',b'Stan Kenton'
Best Original Jazz Composition,b'African Waltz',b'Cannonball Adderly'
Best Performance By An Orchestra - For Dancing,b'Up A Lazy River',b'Si Zentner'
Best Performance By An Orchestra - For Other Than Dancing,b"Breakfast At Tiffany's",b'Henry Mancini'
Best Arrangement,b'Moon River',b'Henry Mancini'
Best Performance By A Vocal Group,b'High Flying',"b'Lambert, Hendricks And Ross'"
Best Performance By A Chorus,b'Great Band With Great Voices',b'Johnny Mann Singers'
Best Sound Track Album Or Recording Of Score From Motion Picture Or Television,b"Breakfast At Tiffany's",b'Henry Mancini'
Best Sound Track Album Or Recording Of Original Cast From Motion Picture Or Television,b'West Side Story',b'Original Cast'
Best Original Cast Show Album,b'How To Succeed In Business Without Really Trying',"b'Robert Morse, Rudy Vallee, Charles Nelson Reilly, Bonnie Scott, Claudette Southerland, Sammy Smith'"
Best Comedy Performance,b'An Evening With Mike Nichols And Elaine May',b'Mike Nichols And Elaine May'
Best Documentary Or Spoken Word Recording (Other Than Comedy),b'Humor In Music',b'Leonard Bernstein'
Best Engineering Contribution - Popular Recording,b'Judy At Carnegie Hall',b'Judy Garland'
Best Engineering Contribution - Novelty,b'Stan Freberg Presents The United States Of America',b'Stan Freberg'
Best Album Cover (Other Than Classical),b'Judy At Carnegie Hall',b'Judy Garland'
Best Album Cover - Classical,b'Puccini: Madame Butterfly',"b'Gabriele Santini, conductor'"
Best Recording For Children,b'Prokofiev: Peter And The Wolf',b'Leonard Bernstein'
Best Rock & Roll Recording,b"Let's Twist Again",b'Chubby Checker'
Best Country & Western Recording,b'Big Bad John',b'Jimmy Dean'
Best Rhythm & Blues Recording,b'Hit The Road Jack',b'Ray Charles'
Best Folk Recording,b'Belafonte Folk Singers At Home And Abroad',b'Belafonte Folk Singers'
Best Gospel Or Other Religious Recording,b'Everytime I Feel The Spirit',b'Mahalia Jackson'
Best New Artist Of 1961,b'Peter Nero',b'Peter Nero'
Best Classical Performance - Orchestra,b'Ravel: Daphnis Et Chloe',"b'Charles Munch, conductor'"
Best Classical Performance - Chamber Music,"b'Beethoven: Serenade, Op. 8/Kodaly: Duo For Violin And Cello, Op. 7'","b'Jascha Heifetz, violin; William Primrose, viola; Gregor Piatigorsky, cello'"
Best Classical Performance - Instrumental Soloist (With Orchestra),b'Bart\xc3\xb3k: Violin Concerto No. 1',"b'Isaac Stern, violin'"
Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra),b'Reverie For Spanish Guitar',"b'Laurindo Almeida, guitar'"
Best Opera Recording,b'Puccini: Madame Butterfly',"b'Gabriele Santini, conductor'"
Best Classical Performance - Choral (Other Than Opera),b'Bach: B Minor Mass',"b'Robert Shaw, conductor'"
Best Classical Performance - Vocal Soloist (With Or Without Orchestra),b'The Art Of The Prima Donna',"b'Joan Sutherland, soprano'"
Best Contemporary Classical Composition,b'Almeida: Discantus',b'Laurindo Almeida'
Best Engineering Contribution - Classical Recording,b'Ravel: Daphnis Et Chloe',"b'Charles Munch, conductor'"
Record Of The Year,b'I Left My Heart In San Francisco',b'Tony Bennett'
Album Of The Year (Other Than Classical),b'The First Family',b'Vaughn Meader'
Album Of The Year - Classical,b'Columbia Records Presents Vladimir Horowitz',"b'Vladimir Horowitz, piano'"
Song Of The Year,b'What Kind Of Fool Am I',"b'Anthony Newley & Leslie Bricusse, songwriters (Sammy Davis, Jr. AND ALSO Anthony Newley)'"
Best Instrumental Theme,b'A Taste Of Honey',b'Eddie Cano'
"Best Solo Vocal Performance, Female",b'Ella Swings Brightly With Nelson Riddle',b'Ella Fitzgerald'
"Best Solo Vocal Performance, Male",b'I Left My Heart In San Francisco',b'Tony Bennett'
Best Jazz Performance - Soloist Or Small Group (Instrumental),b'Desafinado',b'Stan Getz'
Best Jazz Performance - Large Group (Instrumental),b'Adventures In Jazz',b'Stan Kenton'
Best Original Jazz Composition,b'Cast Your Fate To The Wind',b'Vince Guaraldi Trio'
Best Performance By An Orchestra - For Dancing,b'Fly Me To The Moon Bossa Nova',b'Joe Harnell'
Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,b'The Colorful Peter Nero',b'Peter Nero'
Best Instrumental Arrangement,b'Baby Elephant Walk',b'Henry Mancini'
Best Background Arrangement,b'I Left My Heart In San Francisco',b'Tony Bennett'
Best Performance By A Vocal Group,b'If I Had A Hammer',"b'Peter, Paul And Mary'"
Best Performance By A Chorus,b'Presenting The New Christy Minstrels',b'The New Christy Minstrels'
Best Original Cast Show Album,b'No Strings',"b'Richard Kiley, Diahann Carroll, Bernice Mass, Noelle Adam, Don Chastain, Mitchell Gregg, Noelle Adam'"
Best Classical Performance - Orchestra,b'Stravinsky: The Firebird Ballet',"b'Igor Stravinsky, conductor'"
Best Classical Performance - Chamber Music,"b'The Heifetz-Piatigorsky Concerts With Primrose, Pennario And Guests'","b'Gregor Piatigorsky, cello; Jascha Heifetz, violin; William Primrose, viola'"
Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),b'Stravinsky: Violin Concerto In D',"b'Isaac Stern, violin'"
Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra),b'Columbia Records Presents Vladimir Horowitz',"b'Vladimir Horowitz, piano'"
Best Opera Recording,b'Verdi: Aida',"b'Georg Solti, conductor'"
Best Classical Performance - Choral (Other Than Opera),b'Bach: St. Matthew Passion',"b'Otto Klemperer, conductor; Wilhelm Pitz, choir director'"
Best Classical Performance - Vocal Soloist (With Or Without Orchestra),b"Wagner: Gotterdamerung - Brunnhilde's Immolation Scene/Wesendonck Songs","b'Eileen Farrell, soprano'"
Best Contemporary Composition,b'Stravinsky: The Flood',b'Igor Stravinsky'
Best Engineered Recording - Classical,b'Strauss: Also Sprach Zarathustra',"b'Fritz Reiner, conductor'"
Best Album Cover - Classical,b'The Intimate Bach',"b'Laurindo Almeida, Virginia Majewski & Vincent de Rosa'"
Best Album Cover - Other Than Classical,b'Lena...Lovely And Alive',b'Lena Horne'
Best Comedy Performance,b'The First Family',b'Vaughn Meader'
Best Documentary Or Spoken Word Recording (Other Than Comedy),b'The Story-Teller: A Session With Charles Laughton',b'Charles Laughton'
Best Engineering Contribution - Other Than Novelty And Other Than Classical,b'Hatari',b'Henry Mancini'
